Epoch, Total Squared Error,
0, 0.481125,
1, 0.454340,
2, 0.429666,
3, 0.407183,
4, 0.386882,
5, 0.368678,
6, 0.352441,
7, 0.338009,
8, 0.325205,
9, 0.313853,
10, 0.303781,
11, 0.294832,
12, 0.286859,
13, 0.279733,
14, 0.273341,
15, 0.267581,
16, 0.262368,
17, 0.257627,
18, 0.253293,
19, 0.249312,
20, 0.245637,
21, 0.242228,
22, 0.239051,
23, 0.236076,
24, 0.233280,
25, 0.230641,
26, 0.228142,
27, 0.225767,
28, 0.223503,
29, 0.221339,
30, 0.219266,
31, 0.217276,
32, 0.215361,
33, 0.213516,
34, 0.211735,
35, 0.210015,
36, 0.208350,
37, 0.206738,
38, 0.205176,
39, 0.203661,
40, 0.202191,
41, 0.200764,
42, 0.199377,
43, 0.198030,
44, 0.196720,
45, 0.195447,
46, 0.194209,
47, 0.193004,
48, 0.191832,
49, 0.190692,
50, 0.189582,
51, 0.188501,
52, 0.187450,
53, 0.186426,
54, 0.185429,
55, 0.184458,
56, 0.183511,
57, 0.182590,
58, 0.181691,
59, 0.180815,
60, 0.179961,
61, 0.179127,
62, 0.178314,
63, 0.177520,
64, 0.176745,
65, 0.175987,
66, 0.175245,
67, 0.174520,
68, 0.173810,
69, 0.173114,
70, 0.172431,
71, 0.171762,
72, 0.171103,
73, 0.170456,
74, 0.169819,
75, 0.169191,
76, 0.168571,
77, 0.167959,
78, 0.167353,
79, 0.166753,
80, 0.166158,
81, 0.165567,
82, 0.164979,
83, 0.164393,
84, 0.163809,
85, 0.163225,
86, 0.162641,
87, 0.162057,
88, 0.161470,
89, 0.160881,
90, 0.160289,
91, 0.159692,
92, 0.159091,
93, 0.158485,
94, 0.157872,
95, 0.157253,
96, 0.156627,
97, 0.155993,
98, 0.155351,
99, 0.154700,
100, 0.154041,
101, 0.153373,
102, 0.152696,
103, 0.152009,
104, 0.151312,
105, 0.150606,
106, 0.149891,
107, 0.149167,
108, 0.148433,
109, 0.147691,
110, 0.146941,
111, 0.146182,
112, 0.145417,
113, 0.144644,
114, 0.143866,
115, 0.143082,
116, 0.142294,
117, 0.141503,
118, 0.140708,
119, 0.139912,
120, 0.139115,
121, 0.138318,
122, 0.137523,
123, 0.136730,
124, 0.135941,
125, 0.135156,
126, 0.134377,
127, 0.133604,
128, 0.132839,
129, 0.132084,
130, 0.131337,
131, 0.130602,
132, 0.129878,
133, 0.129167,
134, 0.128469,
135, 0.127786,
136, 0.127117,
137, 0.126463,
138, 0.125825,
139, 0.125203,
140, 0.124598,
141, 0.124010,
142, 0.123440,
143, 0.122887,
144, 0.122352,
145, 0.121834,
146, 0.121334,
147, 0.120852,
148, 0.120387,
149, 0.119939,
150, 0.119509,
151, 0.119095,
152, 0.118698,
153, 0.118318,
154, 0.117953,
155, 0.117604,
156, 0.117270,
157, 0.116950,
158, 0.116645,
159, 0.116354,
160, 0.116075,
161, 0.115810,
162, 0.115557,
163, 0.115316,
164, 0.115086,
165, 0.114867,
166, 0.114659,
167, 0.114461,
168, 0.114272,
169, 0.114092,
170, 0.113921,
171, 0.113758,
172, 0.113602,
173, 0.113455,
174, 0.113314,
175, 0.113180,
176, 0.113052,
177, 0.112931,
178, 0.112815,
179, 0.112704,
180, 0.112598,
181, 0.112497,
182, 0.112401,
183, 0.112308,
184, 0.112220,
185, 0.112135,
186, 0.112054,
187, 0.111977,
188, 0.111902,
189, 0.111830,
190, 0.111761,
191, 0.111695,
192, 0.111631,
193, 0.111569,
194, 0.111509,
195, 0.111452,
196, 0.111396,
197, 0.111342,
198, 0.111289,
199, 0.111238,
200, 0.111189,
201, 0.111141,
202, 0.111094,
203, 0.111048,
204, 0.111004,
205, 0.110960,
206, 0.110917,
207, 0.110876,
208, 0.110835,
209, 0.110795,
210, 0.110755,
211, 0.110717,
212, 0.110678,
213, 0.110641,
214, 0.110604,
215, 0.110568,
216, 0.110532,
217, 0.110497,
218, 0.110462,
219, 0.110427,
220, 0.110393,
221, 0.110359,
222, 0.110325,
223, 0.110292,
224, 0.110259,
225, 0.110227,
226, 0.110194,
227, 0.110162,
228, 0.110130,
229, 0.110098,
230, 0.110067,
231, 0.110035,
232, 0.110004,
233, 0.109973,
234, 0.109942,
235, 0.109912,
236, 0.109881,
237, 0.109851,
238, 0.109820,
239, 0.109790,
240, 0.109760,
241, 0.109730,
242, 0.109700,
243, 0.109670,
244, 0.109641,
245, 0.109611,
246, 0.109581,
247, 0.109552,
248, 0.109523,
249, 0.109493,
250, 0.109464,
251, 0.109435,
252, 0.109406,
253, 0.109377,
254, 0.109348,
255, 0.109319,
256, 0.109290,
257, 0.109261,
258, 0.109232,
259, 0.109203,
260, 0.109174,
261, 0.109146,
262, 0.109117,
263, 0.109088,
264, 0.109060,
265, 0.109031,
266, 0.109003,
267, 0.108974,
268, 0.108946,
269, 0.108918,
270, 0.108889,
271, 0.108861,
272, 0.108833,
273, 0.108805,
274, 0.108776,
275, 0.108748,
276, 0.108720,
277, 0.108692,
278, 0.108664,
279, 0.108636,
280, 0.108608,
281, 0.108580,
282, 0.108552,
283, 0.108524,
284, 0.108496,
285, 0.108468,
286, 0.108440,
287, 0.108412,
288, 0.108385,
289, 0.108357,
290, 0.108329,
291, 0.108301,
292, 0.108274,
293, 0.108246,
294, 0.108218,
295, 0.108191,
296, 0.108163,
297, 0.108136,
298, 0.108108,
299, 0.108080,
300, 0.108053,
301, 0.108026,
302, 0.107998,
303, 0.107971,
304, 0.107943,
305, 0.107916,
306, 0.107888,
307, 0.107861,
308, 0.107834,
309, 0.107807,
310, 0.107779,
311, 0.107752,
312, 0.107725,
313, 0.107698,
314, 0.107670,
315, 0.107643,
316, 0.107616,
317, 0.107589,
318, 0.107562,
319, 0.107535,
320, 0.107508,
321, 0.107481,
322, 0.107454,
323, 0.107427,
324, 0.107400,
325, 0.107373,
326, 0.107346,
327, 0.107319,
328, 0.107292,
329, 0.107265,
330, 0.107239,
331, 0.107212,
332, 0.107185,
333, 0.107158,
334, 0.107131,
335, 0.107105,
336, 0.107078,
337, 0.107051,
338, 0.107025,
339, 0.106998,
340, 0.106971,
341, 0.106945,
342, 0.106918,
343, 0.106891,
344, 0.106865,
345, 0.106838,
346, 0.106812,
347, 0.106785,
348, 0.106759,
349, 0.106732,
350, 0.106706,
351, 0.106679,
352, 0.106653,
353, 0.106626,
354, 0.106600,
355, 0.106574,
356, 0.106547,
357, 0.106521,
358, 0.106495,
359, 0.106468,
360, 0.106442,
361, 0.106416,
362, 0.106389,
363, 0.106363,
364, 0.106337,
365, 0.106311,
366, 0.106284,
367, 0.106258,
368, 0.106232,
369, 0.106206,
370, 0.106180,
371, 0.106154,
372, 0.106127,
373, 0.106101,
374, 0.106075,
375, 0.106049,
376, 0.106023,
377, 0.105997,
378, 0.105971,
379, 0.105945,
380, 0.105919,
381, 0.105893,
382, 0.105867,
383, 0.105841,
384, 0.105815,
385, 0.105789,
386, 0.105763,
387, 0.105737,
388, 0.105711,
389, 0.105685,
390, 0.105659,
391, 0.105633,
392, 0.105608,
393, 0.105582,
394, 0.105556,
395, 0.105530,
396, 0.105504,
397, 0.105478,
398, 0.105453,
399, 0.105427,
400, 0.105401,
401, 0.105375,
402, 0.105350,
403, 0.105324,
404, 0.105298,
405, 0.105272,
406, 0.105247,
407, 0.105221,
408, 0.105195,
409, 0.105169,
410, 0.105144,
411, 0.105118,
412, 0.105092,
413, 0.105067,
414, 0.105041,
415, 0.105016,
416, 0.104990,
417, 0.104964,
418, 0.104939,
419, 0.104913,
420, 0.104887,
421, 0.104862,
422, 0.104836,
423, 0.104811,
424, 0.104785,
425, 0.104760,
426, 0.104734,
427, 0.104709,
428, 0.104683,
429, 0.104658,
430, 0.104632,
431, 0.104607,
432, 0.104581,
433, 0.104556,
434, 0.104530,
435, 0.104505,
436, 0.104479,
437, 0.104454,
438, 0.104428,
439, 0.104403,
440, 0.104377,
441, 0.104352,
442, 0.104326,
443, 0.104301,
444, 0.104276,
445, 0.104250,
446, 0.104225,
447, 0.104199,
448, 0.104174,
449, 0.104149,
450, 0.104123,
451, 0.104098,
452, 0.104072,
453, 0.104047,
454, 0.104022,
455, 0.103996,
456, 0.103971,
457, 0.103946,
458, 0.103920,
459, 0.103895,
460, 0.103869,
461, 0.103844,
462, 0.103819,
463, 0.103793,
464, 0.103768,
465, 0.103743,
466, 0.103717,
467, 0.103692,
468, 0.103667,
469, 0.103641,
470, 0.103616,
471, 0.103591,
472, 0.103566,
473, 0.103540,
474, 0.103515,
475, 0.103490,
476, 0.103464,
477, 0.103439,
478, 0.103414,
479, 0.103388,
480, 0.103363,
481, 0.103338,
482, 0.103313,
483, 0.103287,
484, 0.103262,
485, 0.103237,
486, 0.103211,
487, 0.103186,
488, 0.103161,
489, 0.103136,
490, 0.103110,
491, 0.103085,
492, 0.103060,
493, 0.103035,
494, 0.103009,
495, 0.102984,
496, 0.102959,
497, 0.102933,
498, 0.102908,
499, 0.102883,
500, 0.102858,
501, 0.102832,
502, 0.102807,
503, 0.102782,
504, 0.102757,
505, 0.102731,
506, 0.102706,
507, 0.102681,
508, 0.102655,
509, 0.102630,
510, 0.102605,
511, 0.102580,
512, 0.102554,
513, 0.102529,
514, 0.102504,
515, 0.102478,
516, 0.102453,
517, 0.102428,
518, 0.102403,
519, 0.102377,
520, 0.102352,
521, 0.102327,
522, 0.102301,
523, 0.102276,
524, 0.102251,
525, 0.102225,
526, 0.102200,
527, 0.102175,
528, 0.102149,
529, 0.102124,
530, 0.102099,
531, 0.102074,
532, 0.102048,
533, 0.102023,
534, 0.101998,
535, 0.101972,
536, 0.101947,
537, 0.101921,
538, 0.101896,
539, 0.101871,
540, 0.101845,
541, 0.101820,
542, 0.101795,
543, 0.101769,
544, 0.101744,
545, 0.101719,
546, 0.101693,
547, 0.101668,
548, 0.101642,
549, 0.101617,
550, 0.101592,
551, 0.101566,
552, 0.101541,
553, 0.101515,
554, 0.101490,
555, 0.101465,
556, 0.101439,
557, 0.101414,
558, 0.101388,
559, 0.101363,
560, 0.101337,
561, 0.101312,
562, 0.101286,
563, 0.101261,
564, 0.101235,
565, 0.101210,
566, 0.101184,
567, 0.101159,
568, 0.101133,
569, 0.101108,
570, 0.101082,
571, 0.101057,
572, 0.101031,
573, 0.101006,
574, 0.100980,
575, 0.100955,
576, 0.100929,
577, 0.100904,
578, 0.100878,
579, 0.100853,
580, 0.100827,
581, 0.100801,
582, 0.100776,
583, 0.100750,
584, 0.100725,
585, 0.100699,
586, 0.100673,
587, 0.100648,
588, 0.100622,
589, 0.100596,
590, 0.100571,
591, 0.100545,
592, 0.100519,
593, 0.100494,
594, 0.100468,
595, 0.100442,
596, 0.100417,
597, 0.100391,
598, 0.100365,
599, 0.100339,
600, 0.100314,
601, 0.100288,
602, 0.100262,
603, 0.100236,
604, 0.100211,
605, 0.100185,
606, 0.100159,
607, 0.100133,
608, 0.100107,
609, 0.100082,
610, 0.100056,
611, 0.100030,
612, 0.100004,
613, 0.099978,
