Epoch, Total Squared Error
0,0.731745
1,0.727729
2,0.723717
3,0.71971
4,0.715708
5,0.711713
6,0.707725
7,0.703745
8,0.699773
9,0.695811
10,0.69186
11,0.687919
12,0.68399
13,0.680074
14,0.67617
15,0.672281
16,0.668406
17,0.664546
18,0.660702
19,0.656875
20,0.653064
21,0.649271
22,0.645497
23,0.641741
24,0.638005
25,0.634289
26,0.630594
27,0.626919
28,0.623266
29,0.619636
30,0.616028
31,0.612442
32,0.608881
33,0.605343
34,0.60183
35,0.598342
36,0.594879
37,0.591441
38,0.588029
39,0.584643
40,0.581284
41,0.577952
42,0.574647
43,0.571369
44,0.568119
45,0.564897
46,0.561702
47,0.558536
48,0.555399
49,0.55229
50,0.549209
51,0.546158
52,0.543135
53,0.540141
54,0.537176
55,0.534241
56,0.531334
57,0.528457
58,0.525609
59,0.522789
60,0.519999
61,0.517238
62,0.514506
63,0.511802
64,0.509128
65,0.506482
66,0.503865
67,0.501276
68,0.498715
69,0.496182
70,0.493678
71,0.491201
72,0.488752
73,0.48633
74,0.483935
75,0.481568
76,0.479227
77,0.476913
78,0.474625
79,0.472364
80,0.470128
81,0.467918
82,0.465733
83,0.463574
84,0.461439
85,0.459329
86,0.457244
87,0.455182
88,0.453144
89,0.45113
90,0.44914
91,0.447172
92,0.445227
93,0.443305
94,0.441405
95,0.439527
96,0.437671
97,0.435836
98,0.434022
99,0.43223
100,0.430457
101,0.428706
102,0.426974
103,0.425262
104,0.42357
105,0.421897
106,0.420244
107,0.418609
108,0.416992
109,0.415394
110,0.413814
111,0.412252
112,0.410707
113,0.40918
114,0.40767
115,0.406177
116,0.4047
117,0.40324
118,0.401796
119,0.400368
120,0.398955
121,0.397558
122,0.396177
123,0.39481
124,0.393459
125,0.392121
126,0.390799
127,0.389491
128,0.388196
129,0.386916
130,0.385649
131,0.384396
132,0.383156
133,0.381929
134,0.380714
135,0.379513
136,0.378324
137,0.377148
138,0.375983
139,0.374831
140,0.373691
141,0.372562
142,0.371445
143,0.370339
144,0.369244
145,0.368161
146,0.367088
147,0.366026
148,0.364975
149,0.363934
150,0.362904
151,0.361883
152,0.360873
153,0.359873
154,0.358882
155,0.357901
156,0.356929
157,0.355967
158,0.355014
159,0.35407
160,0.353136
161,0.35221
162,0.351292
163,0.350384
164,0.349484
165,0.348592
166,0.347709
167,0.346834
168,0.345967
169,0.345108
170,0.344257
171,0.343413
172,0.342578
173,0.341749
174,0.340929
175,0.340115
176,0.339309
177,0.338511
178,0.337719
179,0.336934
180,0.336157
181,0.335386
182,0.334621
183,0.333864
184,0.333113
185,0.332368
186,0.33163
187,0.330899
188,0.330173
189,0.329454
190,0.328741
191,0.328034
192,0.327332
193,0.326637
194,0.325948
195,0.325264
196,0.324586
197,0.323913
198,0.323246
199,0.322585
200,0.321929
201,0.321278
202,0.320633
203,0.319993
204,0.319358
205,0.318728
206,0.318103
207,0.317483
208,0.316868
209,0.316258
210,0.315652
211,0.315052
212,0.314456
213,0.313864
214,0.313278
215,0.312695
216,0.312118
217,0.311545
218,0.310976
219,0.310411
220,0.309851
221,0.309295
222,0.308743
223,0.308196
224,0.307652
225,0.307113
226,0.306577
227,0.306046
228,0.305518
229,0.304994
230,0.304474
231,0.303958
232,0.303446
233,0.302938
234,0.302433
235,0.301931
236,0.301434
237,0.30094
238,0.300449
239,0.299962
240,0.299478
241,0.298998
242,0.298521
243,0.298048
244,0.297578
245,0.297111
246,0.296647
247,0.296186
248,0.295729
249,0.295275
250,0.294824
251,0.294376
252,0.293931
253,0.293489
254,0.29305
255,0.292614
256,0.292181
257,0.291751
258,0.291324
259,0.2909
260,0.290478
261,0.290059
262,0.289643
263,0.28923
264,0.288819
265,0.288411
266,0.288006
