Epoch, Total Squared Error
0,0.457161
1,0.431219
2,0.408613
3,0.389251
4,0.372911
5,0.359287
6,0.348033
7,0.338795
8,0.33124
9,0.325063
10,0.319997
11,0.315814
12,0.312322
13,0.309363
14,0.306804
15,0.30454
16,0.302483
17,0.300563
18,0.298724
19,0.296918
20,0.295108
21,0.293266
22,0.291366
23,0.289389
24,0.287321
25,0.28515
26,0.282866
27,0.280464
28,0.277939
29,0.275289
30,0.272514
31,0.269614
32,0.266591
33,0.263449
34,0.260193
35,0.256828
36,0.25336
37,0.249799
38,0.246151
39,0.242426
40,0.238633
41,0.234784
42,0.230889
43,0.226959
44,0.223006
45,0.219041
46,0.215077
47,0.211124
48,0.207194
49,0.2033
50,0.19945
51,0.195657
52,0.191929
53,0.188275
54,0.184704
55,0.181223
56,0.177839
57,0.174556
58,0.17138
59,0.168315
60,0.165363
61,0.162525
62,0.159804
63,0.1572
64,0.154711
65,0.152337
66,0.150076
67,0.147926
68,0.145885
69,0.143949
70,0.142115
71,0.14038
72,0.138739
73,0.13719
74,0.135727
75,0.134348
76,0.133048
77,0.131823
78,0.130669
79,0.129583
80,0.128561
81,0.127599
82,0.126694
83,0.125842
84,0.125041
85,0.124287
86,0.123578
87,0.122911
88,0.122283
89,0.121692
90,0.121135
91,0.12061
92,0.120116
93,0.11965
94,0.119211
95,0.118796
96,0.118405
97,0.118035
98,0.117686
99,0.117356
100,0.117043
101,0.116748
102,0.116467
103,0.116202
104,0.11595
105,0.115711
106,0.115484
107,0.115268
108,0.115063
109,0.114867
110,0.114681
111,0.114503
112,0.114334
113,0.114172
114,0.114017
115,0.113869
116,0.113727
117,0.113591
118,0.113461
119,0.113335
120,0.113215
121,0.113099
122,0.112988
123,0.11288
124,0.112777
125,0.112677
126,0.11258
127,0.112487
128,0.112396
129,0.112309
130,0.112224
131,0.112141
132,0.112061
133,0.111984
134,0.111908
135,0.111834
136,0.111762
137,0.111692
138,0.111624
139,0.111557
140,0.111492
141,0.111428
142,0.111365
143,0.111304
144,0.111244
145,0.111185
146,0.111127
147,0.111071
148,0.111015
149,0.11096
150,0.110906
151,0.110853
152,0.110801
153,0.110749
154,0.110698
155,0.110648
156,0.110599
157,0.11055
158,0.110502
159,0.110454
160,0.110407
161,0.110361
162,0.110315
163,0.110269
164,0.110224
165,0.11018
166,0.110135
167,0.110092
168,0.110048
169,0.110005
170,0.109963
171,0.10992
172,0.109879
173,0.109837
174,0.109796
175,0.109755
176,0.109714
177,0.109674
178,0.109634
179,0.109594
180,0.109554
181,0.109515
182,0.109476
183,0.109437
184,0.109398
185,0.10936
186,0.109322
187,0.109284
188,0.109246
189,0.109208
190,0.109171
191,0.109134
192,0.109097
193,0.10906
194,0.109023
195,0.108987
196,0.10895
197,0.108914
198,0.108878
199,0.108843
200,0.108807
201,0.108771
202,0.108736
203,0.108701
204,0.108666
205,0.108631
206,0.108596
207,0.108561
208,0.108527
209,0.108493
210,0.108458
211,0.108424
212,0.10839
213,0.108356
214,0.108323
215,0.108289
216,0.108256
217,0.108222
218,0.108189
219,0.108156
220,0.108123
221,0.10809
222,0.108057
223,0.108024
224,0.107992
225,0.107959
226,0.107927
227,0.107895
228,0.107863
229,0.10783
230,0.107799
231,0.107767
232,0.107735
233,0.107703
234,0.107672
235,0.10764
236,0.107609
237,0.107578
238,0.107547
239,0.107516
240,0.107485
241,0.107454
242,0.107423
243,0.107392
244,0.107362
245,0.107331
246,0.107301
247,0.10727
248,0.10724
249,0.10721
250,0.10718
251,0.10715
252,0.10712
253,0.10709
254,0.107061
255,0.107031
256,0.107002
257,0.106972
258,0.106943
259,0.106914
260,0.106884
261,0.106855
262,0.106826
263,0.106797
264,0.106768
265,0.10674
266,0.106711
267,0.106682
268,0.106654
269,0.106625
270,0.106597
271,0.106569
272,0.10654
273,0.106512
274,0.106484
275,0.106456
276,0.106428
277,0.1064
278,0.106373
279,0.106345
280,0.106317
281,0.10629
282,0.106262
283,0.106235
284,0.106208
285,0.10618
286,0.106153
287,0.106126
288,0.106099
289,0.106072
290,0.106045
291,0.106018
292,0.105992
293,0.105965
294,0.105938
295,0.105912
296,0.105886
297,0.105859
298,0.105833
299,0.105807
300,0.10578
301,0.105754
302,0.105728
303,0.105702
304,0.105676
305,0.105651
306,0.105625
307,0.105599
308,0.105574
309,0.105548
310,0.105523
311,0.105497
312,0.105472
313,0.105446
314,0.105421
315,0.105396
316,0.105371
317,0.105346
318,0.105321
319,0.105296
320,0.105271
321,0.105246
322,0.105222
323,0.105197
324,0.105173
325,0.105148
326,0.105124
327,0.105099
328,0.105075
329,0.105051
330,0.105026
331,0.105002
332,0.104978
333,0.104954
334,0.10493
335,0.104906
336,0.104882
337,0.104859
338,0.104835
339,0.104811
340,0.104788
341,0.104764
342,0.104741
343,0.104717
344,0.104694
345,0.104671
346,0.104647
347,0.104624
348,0.104601
349,0.104578
350,0.104555
351,0.104532
352,0.104509
353,0.104486
354,0.104464
355,0.104441
356,0.104418
357,0.104396
358,0.104373
359,0.104351
360,0.104328
361,0.104306
362,0.104283
363,0.104261
364,0.104239
365,0.104217
366,0.104195
367,0.104173
368,0.104151
369,0.104129
370,0.104107
371,0.104085
372,0.104063
373,0.104041
374,0.10402
375,0.103998
376,0.103977
377,0.103955
378,0.103934
379,0.103912
380,0.103891
381,0.103869
382,0.103848
383,0.103827
384,0.103806
385,0.103785
386,0.103764
387,0.103743
388,0.103722
389,0.103701
390,0.10368
391,0.103659
392,0.103638
393,0.103618
394,0.103597
395,0.103577
396,0.103556
397,0.103536
398,0.103515
399,0.103495
400,0.103474
401,0.103454
402,0.103434
403,0.103414
404,0.103393
405,0.103373
406,0.103353
407,0.103333
408,0.103313
409,0.103293
410,0.103274
411,0.103254
