Epoch, Total Squared Error
0,0.393572
1,0.37718
2,0.361931
3,0.34787
4,0.335003
5,0.323293
6,0.312676
7,0.303068
8,0.294372
9,0.286488
10,0.279317
11,0.272769
12,0.266759
13,0.261213
14,0.256066
15,0.251262
16,0.246754
17,0.242502
18,0.238473
19,0.234638
20,0.230975
21,0.227464
22,0.224091
23,0.220842
24,0.217706
25,0.214674
26,0.21174
27,0.208897
28,0.20614
29,0.203464
30,0.200866
31,0.198342
32,0.195891
33,0.193508
34,0.191193
35,0.188943
36,0.186756
37,0.18463
38,0.182565
39,0.180557
40,0.178607
41,0.176712
42,0.174872
43,0.173084
44,0.171348
45,0.169662
46,0.168025
47,0.166437
48,0.164895
49,0.163398
50,0.161946
51,0.160537
52,0.15917
53,0.157844
54,0.156558
55,0.155311
56,0.154101
57,0.152929
58,0.151792
59,0.15069
60,0.149621
61,0.148586
62,0.147582
63,0.14661
64,0.145667
65,0.144754
66,0.143869
67,0.143012
68,0.142181
69,0.141376
70,0.140596
71,0.139841
72,0.139109
73,0.1384
74,0.137713
75,0.137047
76,0.136402
77,0.135778
78,0.135172
79,0.134586
80,0.134018
81,0.133468
82,0.132934
83,0.132417
84,0.131917
85,0.131431
86,0.130961
87,0.130505
88,0.130063
89,0.129635
90,0.12922
91,0.128817
92,0.128427
93,0.128048
94,0.127681
95,0.127325
96,0.12698
97,0.126645
98,0.12632
99,0.126004
100,0.125698
101,0.125401
102,0.125112
103,0.124832
104,0.12456
105,0.124296
106,0.124039
107,0.12379
108,0.123548
109,0.123312
110,0.123083
111,0.122861
112,0.122645
113,0.122434
114,0.122229
115,0.12203
116,0.121836
117,0.121647
118,0.121463
119,0.121284
120,0.12111
121,0.12094
122,0.120775
123,0.120613
124,0.120456
125,0.120303
126,0.120153
127,0.120007
128,0.119864
129,0.119725
130,0.119589
131,0.119456
132,0.119327
133,0.1192
134,0.119076
135,0.118955
136,0.118837
137,0.118721
138,0.118608
139,0.118497
140,0.118388
141,0.118281
142,0.118177
143,0.118075
144,0.117975
145,0.117877
146,0.117781
147,0.117686
148,0.117594
149,0.117503
150,0.117413
151,0.117326
152,0.11724
153,0.117155
154,0.117072
155,0.11699
156,0.11691
157,0.11683
158,0.116753
159,0.116676
160,0.116601
161,0.116526
162,0.116453
163,0.116381
164,0.11631
165,0.11624
166,0.116172
167,0.116104
168,0.116036
169,0.11597
170,0.115905
171,0.115841
172,0.115777
173,0.115714
174,0.115652
175,0.115591
176,0.11553
177,0.11547
178,0.115411
179,0.115353
180,0.115295
181,0.115238
182,0.115181
183,0.115125
184,0.11507
185,0.115015
186,0.11496
187,0.114907
188,0.114853
189,0.114801
190,0.114748
191,0.114697
192,0.114645
193,0.114594
194,0.114544
195,0.114494
196,0.114445
197,0.114395
198,0.114347
199,0.114298
200,0.11425
201,0.114203
202,0.114156
203,0.114109
204,0.114062
205,0.114016
206,0.11397
207,0.113925
208,0.11388
209,0.113835
210,0.11379
211,0.113746
212,0.113702
213,0.113659
214,0.113615
215,0.113572
216,0.113529
217,0.113487
218,0.113444
219,0.113402
220,0.113361
221,0.113319
222,0.113278
223,0.113237
224,0.113196
225,0.113156
226,0.113115
227,0.113075
228,0.113035
229,0.112996
230,0.112956
231,0.112917
232,0.112878
233,0.112839
234,0.1128
235,0.112762
236,0.112724
237,0.112686
238,0.112648
239,0.11261
240,0.112573
241,0.112536
242,0.112498
243,0.112462
244,0.112425
245,0.112388
246,0.112352
247,0.112316
248,0.11228
249,0.112244
250,0.112208
251,0.112173
252,0.112137
253,0.112102
254,0.112067
255,0.112032
256,0.111997
257,0.111963
258,0.111928
259,0.111894
260,0.11186
261,0.111826
262,0.111792
263,0.111758
264,0.111725
265,0.111692
266,0.111658
267,0.111625
268,0.111592
269,0.111559
270,0.111527
271,0.111494
272,0.111462
273,0.11143
274,0.111397
275,0.111365
276,0.111334
277,0.111302
278,0.11127
279,0.111239
280,0.111207
281,0.111176
282,0.111145
283,0.111114
284,0.111083
285,0.111053
286,0.111022
287,0.110992
288,0.110961
289,0.110931
290,0.110901
291,0.110871
292,0.110841
293,0.110812
294,0.110782
295,0.110753
296,0.110723
297,0.110694
298,0.110665
299,0.110636
300,0.110607
301,0.110578
302,0.110549
303,0.110521
304,0.110492
305,0.110464
306,0.110436
307,0.110408
308,0.11038
309,0.110352
310,0.110324
311,0.110297
312,0.110269
313,0.110242
314,0.110214
315,0.110187
316,0.11016
317,0.110133
318,0.110106
319,0.110079
320,0.110052
321,0.110026
322,0.109999
323,0.109973
324,0.109947
325,0.109921
326,0.109894
327,0.109869
328,0.109843
329,0.109817
330,0.109791
331,0.109766
332,0.10974
333,0.109715
334,0.109689
335,0.109664
336,0.109639
337,0.109614
338,0.109589
339,0.109565
340,0.10954
341,0.109515
342,0.109491
343,0.109466
344,0.109442
345,0.109418
346,0.109394
347,0.10937
348,0.109346
349,0.109322
350,0.109298
351,0.109274
352,0.109251
353,0.109227
354,0.109204
355,0.109181
356,0.109157
357,0.109134
358,0.109111
359,0.109088
360,0.109066
361,0.109043
362,0.10902
363,0.108997
364,0.108975
365,0.108953
366,0.10893
367,0.108908
368,0.108886
369,0.108864
370,0.108842
371,0.10882
372,0.108798
373,0.108776
374,0.108755
375,0.108733
376,0.108711
377,0.10869
378,0.108669
379,0.108647
380,0.108626
381,0.108605
382,0.108584
383,0.108563
384,0.108542
385,0.108522
386,0.108501
387,0.10848
388,0.10846
389,0.108439
390,0.108419
391,0.108399
392,0.108378
393,0.108358
394,0.108338
395,0.108318
396,0.108298
397,0.108278
398,0.108258
399,0.108239
400,0.108219
401,0.1082
402,0.10818
403,0.108161
404,0.108141
405,0.108122
406,0.108103
407,0.108084
408,0.108065
409,0.108046
410,0.108027
411,0.108008
412,0.107989
413,0.107971
414,0.107952
415,0.107933
416,0.107915
417,0.107896
418,0.107878
419,0.10786
420,0.107842
421,0.107824
422,0.107805
423,0.107787
424,0.107769
425,0.107752
426,0.107734
427,0.107716
428,0.107698
429,0.107681
430,0.107663
431,0.107646
432,0.107628
433,0.107611
434,0.107594
435,0.107576
436,0.107559
437,0.107542
438,0.107525
439,0.107508
440,0.107491
441,0.107474
442,0.107458
443,0.107441
444,0.107424
445,0.107408
446,0.107391
447,0.107375
448,0.107358
449,0.107342
450,0.107326
451,0.107309
452,0.107293
453,0.107277
454,0.107261
455,0.107245
456,0.107229
457,0.107213
458,0.107197
459,0.107181
460,0.107166
461,0.10715
462,0.107134
463,0.107119
464,0.107103
465,0.107088
466,0.107073
467,0.107057
468,0.107042
469,0.107027
470,0.107012
471,0.106996
472,0.106981
473,0.106966
474,0.106951
475,0.106937
476,0.106922
477,0.106907
478,0.106892
479,0.106878
480,0.106863
481,0.106848
482,0.106834
483,0.106819
484,0.106805
485,0.106791
486,0.106776
487,0.106762
488,0.106748
489,0.106734
490,0.106719
491,0.106705
492,0.106691
493,0.106677
494,0.106663
495,0.10665
496,0.106636
497,0.106622
498,0.106608
499,0.106595
500,0.106581
501,0.106567
502,0.106554
503,0.10654
504,0.106527
505,0.106513
506,0.1065
507,0.106487
508,0.106474
509,0.10646
510,0.106447
511,0.106434
512,0.106421
513,0.106408
514,0.106395
515,0.106382
516,0.106369
517,0.106356
518,0.106343
519,0.106331
520,0.106318
521,0.106305
522,0.106293
523,0.10628
524,0.106267
525,0.106255
526,0.106242
527,0.10623
528,0.106218
529,0.106205
530,0.106193
531,0.106181
532,0.106169
533,0.106156
534,0.106144
535,0.106132
536,0.10612
537,0.106108
538,0.106096
539,0.106084
540,0.106072
541,0.10606
542,0.106049
543,0.106037
544,0.106025
545,0.106013
546,0.106002
547,0.10599
548,0.105979
549,0.105967
550,0.105955
551,0.105944
552,0.105933
553,0.105921
554,0.10591
555,0.105899
556,0.105887
557,0.105876
558,0.105865
559,0.105854
560,0.105842
561,0.105831
562,0.10582
563,0.105809
564,0.105798
565,0.105787
566,0.105776
567,0.105766
568,0.105755
569,0.105744
570,0.105733
571,0.105722
572,0.105712
573,0.105701
574,0.10569
575,0.10568
576,0.105669
577,0.105659
578,0.105648
579,0.105638
580,0.105627
581,0.105617
582,0.105606
583,0.105596
584,0.105586
585,0.105575
586,0.105565
587,0.105555
588,0.105545
589,0.105535
590,0.105524
591,0.105514
592,0.105504
593,0.105494
594,0.105484
595,0.105474
596,0.105464
597,0.105454
598,0.105445
599,0.105435
600,0.105425
601,0.105415
602,0.105405
603,0.105396
604,0.105386
605,0.105376
606,0.105367
607,0.105357
608,0.105347
609,0.105338
610,0.105328
611,0.105319
612,0.105309
613,0.1053
614,0.105291
615,0.105281
616,0.105272
617,0.105262
618,0.105253
619,0.105244
620,0.105235
621,0.105225
622,0.105216
623,0.105207
624,0.105198
625,0.105189
626,0.10518
627,0.105171
628,0.105162
629,0.105153
630,0.105144
631,0.105135
632,0.105126
633,0.105117
634,0.105108
635,0.105099
636,0.10509
637,0.105082
638,0.105073
639,0.105064
640,0.105055
641,0.105047
642,0.105038
643,0.105029
644,0.105021
645,0.105012
646,0.105004
647,0.104995
648,0.104986
649,0.104978
650,0.104969
651,0.104961
652,0.104953
653,0.104944
654,0.104936
655,0.104927
656,0.104919
657,0.104911
658,0.104903
659,0.104894
660,0.104886
661,0.104878
662,0.10487
663,0.104861
664,0.104853
665,0.104845
666,0.104837
667,0.104829
668,0.104821
669,0.104813
670,0.104805
671,0.104797
672,0.104789
673,0.104781
674,0.104773
675,0.104765
676,0.104757
677,0.104749
678,0.104741
679,0.104734
680,0.104726
681,0.104718
682,0.10471
683,0.104702
684,0.104695
685,0.104687
686,0.104679
687,0.104672
688,0.104664
689,0.104656
690,0.104649
691,0.104641
692,0.104634
693,0.104626
694,0.104619
695,0.104611
696,0.104604
697,0.104596
698,0.104589
699,0.104581
700,0.104574
701,0.104566
702,0.104559
703,0.104552
704,0.104544
705,0.104537
706,0.10453
707,0.104522
708,0.104515
709,0.104508
710,0.104501
711,0.104493
712,0.104486
713,0.104479
714,0.104472
715,0.104465
716,0.104458
717,0.104451
718,0.104443
719,0.104436
720,0.104429
721,0.104422
722,0.104415
723,0.104408
724,0.104401
725,0.104394
726,0.104387
727,0.10438
728,0.104374
729,0.104367
730,0.10436
731,0.104353
732,0.104346
733,0.104339
734,0.104332
735,0.104326
736,0.104319
737,0.104312
738,0.104305
739,0.104299
740,0.104292
741,0.104285
742,0.104278
743,0.104272
744,0.104265
745,0.104258
746,0.104252
747,0.104245
748,0.104239
749,0.104232
750,0.104225
751,0.104219
752,0.104212
753,0.104206
754,0.104199
755,0.104193
756,0.104186
757,0.10418
758,0.104173
759,0.104167
760,0.104161
761,0.104154
762,0.104148
763,0.104141
764,0.104135
765,0.104129
766,0.104122
767,0.104116
768,0.10411
769,0.104103
770,0.104097
