Epoch, Total Squared Error
0,0.491449
1,0.451123
2,0.414727
3,0.38279
4,0.355229
5,0.331626
6,0.311464
7,0.294231
8,0.279454
9,0.266712
10,0.255637
11,0.245915
12,0.237287
13,0.229545
14,0.222522
15,0.21609
16,0.21015
17,0.204625
18,0.199457
19,0.194603
20,0.190028
21,0.185708
22,0.181623
23,0.177756
24,0.174096
25,0.170631
26,0.167352
27,0.164251
28,0.161321
29,0.158555
30,0.155945
31,0.153485
32,0.151168
33,0.148987
34,0.146936
35,0.145009
36,0.143198
37,0.141498
38,0.139902
39,0.138405
40,0.137001
41,0.135684
42,0.134449
43,0.133291
44,0.132206
45,0.131187
46,0.130231
47,0.129335
48,0.128493
49,0.127703
50,0.126961
51,0.126263
52,0.125607
53,0.12499
54,0.124408
55,0.123861
56,0.123345
57,0.122858
58,0.122398
59,0.121964
60,0.121553
61,0.121164
62,0.120795
63,0.120446
64,0.120114
65,0.119799
66,0.1195
67,0.119215
68,0.118943
69,0.118684
70,0.118436
71,0.1182
72,0.117974
73,0.117757
74,0.11755
75,0.117351
76,0.117159
77,0.116975
78,0.116798
79,0.116628
80,0.116463
81,0.116304
82,0.116151
83,0.116003
84,0.115859
85,0.11572
86,0.115585
87,0.115454
88,0.115327
89,0.115203
90,0.115083
91,0.114966
92,0.114852
93,0.114741
94,0.114632
95,0.114526
96,0.114423
97,0.114321
98,0.114222
99,0.114125
100,0.11403
101,0.113937
102,0.113846
103,0.113757
104,0.113669
105,0.113582
106,0.113498
107,0.113414
108,0.113333
109,0.113252
110,0.113173
111,0.113095
112,0.113018
113,0.112942
114,0.112868
115,0.112794
116,0.112722
117,0.11265
118,0.11258
119,0.11251
120,0.112442
121,0.112374
122,0.112307
123,0.112241
124,0.112176
125,0.112111
126,0.112047
127,0.111985
128,0.111922
129,0.111861
130,0.1118
131,0.11174
132,0.11168
133,0.111621
134,0.111563
135,0.111505
136,0.111448
137,0.111392
138,0.111336
139,0.111281
140,0.111226
141,0.111172
142,0.111118
143,0.111065
144,0.111012
145,0.11096
146,0.110908
147,0.110857
148,0.110806
149,0.110756
150,0.110706
151,0.110657
152,0.110608
153,0.11056
154,0.110511
155,0.110464
156,0.110417
157,0.11037
158,0.110324
159,0.110278
160,0.110232
161,0.110187
162,0.110142
163,0.110098
164,0.110054
165,0.11001
166,0.109967
167,0.109924
168,0.109881
169,0.109839
170,0.109797
171,0.109756
172,0.109715
173,0.109674
174,0.109633
175,0.109593
176,0.109553
177,0.109514
178,0.109474
179,0.109435
180,0.109397
181,0.109359
